Gene,log2FC,pvalue,n_g12d,n_wt,FDR
DNAJC11 (55735),0.12740771655672223,0.5511706906665313,13,38,
FMO3 (2328),-0.04914010360709572,0.3029583471105778,13,38,
MYLIP (29116),0.14277039778971456,0.6142996387975648,13,38,
NOX1 (27035),0.18993560934135134,0.8085543261053845,13,38,
E2F2 (1870),0.09129487487979349,0.808594885651952,13,38,
PSMB1 (5689),0.01951311490505958,0.931534495112905,13,38,
SYN1 (6853),-0.03375399165143056,0.7726484027564535,13,38,
JARID2 (3720),0.006236501037301334,0.983529430677902,13,38,
CDKL5 (6792),-0.035159135063257296,0.8335833735421478,13,38,
CAMK1G (57172),-0.04525099233579155,0.3511175514237075,13,38,
CDK11A (728642),-0.025734837704891156,0.9158241939218155,13,38,
NADK (65220),0.25549911326037744,0.2866464296922468,13,38,
TFAP2B (7021),-0.06825731551087152,0.20252686983143114,13,38,
TFAP2D (83741),0.0011042533059284615,0.3370490579535843,13,38,
DLEC1 (9940),0.003768829461813672,0.9520293775578552,13,38,
CYTH3 (9265),0.7694470547108598,0.01907941749485709,13,38,
ADAM22 (53616),-0.30771831208888356,0.2714917050508138,13,38,
SYPL1 (6856),0.3788737912176794,0.007359150126095024,13,38,
CYB561 (1534),0.4861808327297332,0.06968248667111189,13,38,
SPAG9 (9043),-0.4666010532388736,0.17384939474220076,13,38,
CELSR3 (1951),0.0615795740532894,0.8477790021071131,13,38,
AASS (10157),-0.46146722238750915,0.18384022966188174,13,38,
PLEKHG6 (55200),0.30284877919160547,0.3843092094926055,13,38,
SS18L2 (51188),-0.43635685455628703,0.03606222524561256,13,38,
MPND (84954),0.34108585530387625,0.14921419492516952,13,38,
MGST1 (4257),0.4042499026562698,0.24442663995120167,13,38,
CRY1 (1407),0.1153992022429251,0.5467374421357523,13,38,
PGLYRP1 (8993),-0.007600590849171862,0.8949811462105942,13,38,
NFIX (4784),0.3213699975032487,0.3904365047342184,13,38,
ST3GAL1 (6482),0.13751682050260516,0.7844136377770662,13,38,
MMP25 (64386),0.3507586778886494,0.14262070893364318,13,38,
IL32 (9235),0.4568657522111943,0.5757369865532906,13,38,
PKD1 (5310),-0.1703248001809783,0.701666830380732,13,38,
MAPK8IP2 (23542),-0.3216038811062283,0.15720931566080273,13,38,
MED24 (9862),0.12836314152234785,0.5794323694190222,13,38,
RHOBTB2 (23221),0.06327296046633712,0.8452992436997879,13,38,
HEATR5B (54497),-0.12884598897981103,0.5465056812871693,13,38,
SEC62 (7095),-0.23089730885793713,0.1646878547617852,13,38,
RPS20 (6224),-0.5047473572078349,0.02141472617096154,13,38,
CSDE1 (7812),-0.1328854957255734,0.3901429697858326,13,38,
UBE3C (9690),0.03201083475915567,0.8132193896501935,13,38,
REV3L (5980),-0.020242425769069428,0.9383866041560238,13,38,
TENM1 (10178),0.10667731741935335,0.23899385687767757,13,38,
PAX7 (5081),-0.07096965197228863,0.26680403081157433,13,38,
MASP2 (10747),0.12265734715568488,0.5636339491260354,13,38,
IYD (389434),-0.1243157088893152,0.6725409298457061,13,38,
FAM76A (199870),0.02405525612700643,0.8872567552897804,13,38,
TRAF3IP3 (80342),-0.10391620333454768,0.19812970824935408,13,38,
POMT2 (29954),0.09773274670017162,0.6859894314045976,13,38,
VTA1 (51534),-0.004676849666263472,0.9763874243721695,13,38,
MLXIPL (51085),-0.16891082810052316,0.7718023735749742,13,38,
BAZ1B (9031),0.03479698014801613,0.8513469690601599,13,38,
RANBP9 (10048),0.33736119080179616,0.15225570913306155,13,38,
ETV7 (51513),0.17635478398725746,0.6782420242992222,13,38,
SPRTN (83932),0.1749923538356577,0.28837894705365247,13,38,
EEF1AKNMT (51603),0.4811887262925305,0.014771539796560077,13,38,
DYRK4 (8798),-0.13267545380271706,0.6382793657034539,13,38,
ZNF207 (7756),0.014772117402693574,0.9127139966002051,13,38,
UQCRC1 (7384),0.10955745735949751,0.6355920816027212,13,38,
STARD3NL (83930),-0.26896561285004417,0.1799739138106279,13,38,
CD9 (928),0.6030886509797977,0.06343734662044562,13,38,
HHATL (57467),0.018230228826155007,0.5877808104010738,13,38,
NCAPD2 (9918),0.15378459309379355,0.46227996136040106,13,38,
IFFO1 (25900),-0.1710136491992243,0.1806732094997993,13,38,
GIPR (2696),0.06798524600718592,0.8122249887196145,13,38,
PHF7 (51533),-0.005182928061363334,0.9803946627189173,13,38,
SEMA3G (56920),0.028079472484960455,0.8947020956727816,13,38,
NISCH (11188),0.16650671021129426,0.5651877829113832,13,38,
STAB1 (23166),0.05177655652524302,0.3528046956270372,13,38,
FUZ (80199),0.20634451228245032,0.6907689246513735,13,38,
SLC6A13 (6540),-0.12164161291063719,0.25145625378752867,13,38,
IDS (3423),-0.006262374024839534,0.9872650979603905,13,38,
PRSS3 (5646),-1.200448805497797,0.224591102805109,13,38,
ZNF200 (7752),0.11969061716897,0.5331183989540766,13,38,
CD4 (920),-0.06262005642223989,0.6983213343285968,13,38,
LRRC23 (10233),0.19918227433643843,0.3893745851772573,13,38,
BTK (695),-0.13063044482117786,0.10914759013767845,13,38,
HFE (3077),0.9096883047692246,0.00403238168433424,13,38,
SCMH1 (22955),0.22685670316457784,0.31133152674931114,13,38,
FYN (2534),-0.2565400462989911,0.6445995361309944,13,38,
HIVEP2 (3097),-0.1110201565198301,0.6574884774082249,13,38,
FMO1 (2326),0.07002071237090435,0.1232038036149904,13,38,
ELOA (6924),-0.40208639019863046,0.0718843033845284,13,38,
LYPLA2 (11313),0.32243830768019155,0.03679808749803727,13,38,
CLCN6 (1185),0.003993768580396573,0.9880761502242694,13,38,
MRC2 (9902),0.0010604456005867124,0.9974857605485798,13,38,
NME1-NME2 (654364),0.44643368798177274,0.1033669056575374,13,38,
SLC6A7 (6534),0.36678277966310324,0.2787638104670197,13,38,
TSPAN9 (10867),0.25794927147871594,0.47167851053295295,13,38,
BTBD7 (55727),0.0479046342410645,0.7469749724621808,13,38,
APBA3 (9546),0.17423173810392,0.47603523704750217,13,38,
MKS1 (54903),0.05319338467660861,0.7842254875938257,13,38,
ABHD5 (51099),-0.07986707666194981,0.6204017270202548,13,38,
ANOS1 (3730),0.11674269760474126,0.5569678968589191,13,38,
AKAP8L (26993),-0.0534801523101649,0.7732251729117671,13,38,
MBTD1 (54799),-0.12962163496341894,0.5164571761489942,13,38,
UTP18 (51096),-0.20826010442749343,0.12766842828861127,13,38,
RNF216 (54476),-0.09748824442956083,0.6315620391647743,13,38,
TTC19 (54902),0.22531250239292877,0.3380451420304721,13,38,
PTBP1 (5725),0.1372683707690623,0.5276482749577109,13,38,
DPF1 (8193),-0.4926145134362906,0.007991188503237668,13,38,
SYT7 (9066),0.08877407053719377,0.8434777310136058,13,38,
LARS2 (23395),0.148178961564863,0.49202754367182766,13,38,
PIK3C2A (5286),-0.1444929262932355,0.4697119710516904,13,38,
PLAUR (5329),0.5166842582608426,0.2877034678843127,13,38,
ANLN (54443),0.3281869347002626,0.21707093170728878,13,38,
WIZ (58525),0.029839610445626885,0.9011320048827165,13,38,
RABGAP1 (23637),0.042894646897573274,0.8140219701177636,13,38,
DCN (1634),-0.05674976794029346,0.7311943276095826,13,38,
QPCTL (54814),0.03441932780332069,0.8590619940931159,13,38,
PPP5C (5536),0.03336841874064955,0.8766169342981911,13,38,
CEP68 (23177),0.003451418283576313,0.9858650507011593,13,38,
MAP4K3 (8491),-0.1783586547464382,0.25124371000675966,13,38,
ZBTB32 (27033),-0.06272330294678152,0.5329800364115049,13,38,
TYROBP (7305),-0.012980111000490242,0.6509932759915881,13,38,
TMEM159 (57146),0.6174530366900042,0.0056253395841405944,13,38,
GABRA3 (2556),0.21460169393809503,0.4902067302427934,13,38,
BRCA1 (672),0.06613467904336812,0.8304387455220631,13,38,
ERCC1 (2067),-0.11170556918177788,0.6174236606061845,13,38,
CD22 (933),0.46906643277008286,0.19290579405289887,13,38,
SEMA3B (7869),1.6124631117245305,0.005001817238459652,13,38,
MBTPS2 (51360),-0.0564600508959443,0.7786717632270139,13,38,
PRICKLE3 (4007),0.2617452685472337,0.2232529448202437,13,38,
LTF (4057),-0.00971793129483442,0.9040305425185333,13,38,
EXTL3 (2137),0.04325682683566168,0.8796070864744348,13,38,
NR1H4 (9971),-0.01606128127838602,0.9421385322361582,13,38,
ELOVL5 (60481),0.8832626591751955,0.19192461195977367,13,38,
ALOX5 (240),1.7221241250661041,0.0009050159664339917,13,38,
KDM5D (8284),0.25457488521109306,0.5828902713858538,13,38,
CALCOCO1 (57658),0.7493578548457114,0.02956928434437352,13,38,
UBR7 (55148),-0.09351773378866213,0.717569400116996,13,38,
MAP4K5 (11183),-0.18692370928969693,0.3754574441570918,13,38,
EHD3 (30845),-0.18966196095574983,0.2509058005953576,13,38,
PSMC4 (5704),-0.04526216206770162,0.6988749385418991,13,38,
MAN2B2 (23324),0.24524821737330083,0.2871932234510512,13,38,
SLC7A14 (57709),-0.0023135779790044637,0.2723972816162392,13,38,
CLDN11 (5010),0.6484361309648569,0.26133397570219186,13,38,
SLC25A39 (51629),0.16386169177254928,0.31173218343026043,13,38,
MVP (9961),0.3977531438558888,0.255379753358524,13,38,
NUB1 (51667),0.023074051975478405,0.8915489380268133,13,38,
PGM3 (5238),-0.27997953801590914,0.28202790144154577,13,38,
RWDD2A (112611),-0.1556013633081712,0.369991974546964,13,38,
CLK1 (1195),-0.3837471524127718,0.13102046146903676,13,38,
POLR3B (55703),-0.12429920794713079,0.45080608482951745,13,38,
ANGEL1 (23357),0.07479878170074405,0.7288416410785268,13,38,
RNF14 (9604),0.19774462290830108,0.28318116938869226,13,38,
DNASE1L1 (1774),0.20358899538619823,0.39418314118526865,13,38,
DDX11 (1663),0.17934718084075207,0.579846779837865,13,38,
HEBP1 (50865),0.41612005253505213,0.02724521663788247,13,38,
GPRC5A (9052),1.7182555446716057,0.00027954392038832826,13,38,
MAMLD1 (10046),-0.18470068914996352,0.4371950255456212,13,38,
CD6 (923),-0.0732152114245121,0.30088483615330425,13,38,
TACC3 (10460),0.4389505074215396,0.051843801856516776,13,38,
UFL1 (23376),-0.11546677639130642,0.565359784307315,13,38,
POLA2 (23649),0.20980187528351735,0.31316979850062066,13,38,
ZC3H3 (23144),0.038263459381963294,0.8367214863971991,13,38,
CAPN1 (823),0.8256298551119814,0.0034042839825662308,13,38,
ACP3 (55),0.6265599937726318,0.15817520040074493,13,38,
MDH1 (4190),-0.1459324834701805,0.3085041331407303,13,38,
SLC30A9 (10463),0.064569591415375,0.706176720801368,13,38,
MTMR11 (10903),0.04709990835856459,0.9025848749368495,13,38,
COX15 (1355),0.09831306555558772,0.583942401486322,13,38,
CCDC88C (440193),0.14879285679843735,0.48392186387240776,13,38,
YAF2 (10138),-0.20282153052362828,0.2561004938246832,13,38,
ZMYND11 (10771),0.1542859837502144,0.45717335888755684,13,38,
WAS (7454),0.018322661612450886,0.838246824877737,13,38,
DPEP1 (1800),1.3443298292563624,0.18522573992614377,13,38,
BID (637),0.46629820945062495,0.06524739321173027,13,38,
MATR3 (9782),0.049546288422287255,0.8316988297203248,13,38,
NPC1L1 (29881),-0.35335792136020544,0.10442249607494203,13,38,
XYLT2 (64132),-0.10305682001773286,0.7269625374982052,13,38,
RGPD5 (84220),-0.0562986652184474,0.8599016929315567,13,38,
STMN4 (81551),-0.01829713613721167,0.33107931188975503,13,38,
NUDCD3 (23386),0.26365789457520084,0.29694196342403645,13,38,
ISL1 (3670),0.15655155899348938,0.5981738780663004,13,38,
CHDH (55349),0.31073907650394483,0.47209665952885305,13,38,
IL20RA (53832),0.5141555039702306,0.2301427924926779,13,38,
CLCA1 (1179),-0.006335530016655051,0.8814738741154519,13,38,
CLCA4 (22802),0.053437019019234366,0.6091340727353771,13,38,
GLT8D1 (55830),-0.022948056180884358,0.892751250048693,13,38,
ATP2C1 (27032),0.1302457430079702,0.28033774751493945,13,38,
IGF1 (3479),0.8844016204834824,0.13325218573544717,13,38,
SLC38A5 (92745),0.1757468475066677,0.8477353035582118,13,38,
RALBP1 (10928),0.2586477440789601,0.26947761377015017,13,38,
RUFY3 (22902),0.1468952479132426,0.5837892780777444,13,38,
CNTN1 (1272),-0.08434041293701094,0.80939278707828,13,38,
SLC11A1 (6556),-0.012603235425705128,0.8888087112567978,13,38,
WWTR1 (25937),0.1428670781964545,0.8088167290652375,13,38,
AGPS (8540),-0.12514988751047618,0.4793329572935495,13,38,
CXorf56 (63932),0.036559417586553344,0.8298467204114025,13,38,
ATP1A2 (477),0.00917545689184767,0.6702982548587351,13,38,
TTC27 (55622),-0.18071266061006686,0.1318601395488321,13,38,
ZNF582 (147948),0.2570301669347707,0.42881829811436845,13,38,
VSIG2 (23584),-0.252000498146125,0.5702547676661481,13,38,
PHLDB1 (23187),0.12453089266938022,0.8094640948238521,13,38,
MARCO (8685),0.07292269122479267,0.5698606811057189,13,38,
CYP24A1 (1591),0.24358353610834782,0.6678541913562293,13,38,
PRDM11 (56981),0.4206221695595451,0.04162159557947261,13,38,
SYT13 (57586),0.16126075792493721,0.7103552551778746,13,38,
SNAI2 (6591),0.059024293189752663,0.88716279280902,13,38,
CD74 (972),1.3686210726373176,0.13691298676871988,13,38,
HGF (3082),-0.19575201599177952,0.25142249102454167,13,38,
ZRANB1 (54764),0.3034292482430634,0.18173302964342636,13,38,
NCDN (23154),0.034247214177857366,0.8949170690364455,13,38,
ADGRA2 (25960),-0.24415221389060632,0.04739491568128785,13,38,
ZFP64 (55734),0.0025256713694052912,0.9899380235299556,13,38,
MNAT1 (4331),-0.4069906852126257,0.08913141081981066,13,38,
SAMD4A (23034),-0.003459485194199363,0.9932773985649088,13,38,
RUNX3 (864),0.5152238401138445,0.1328005857641099,13,38,
MRE11 (4361),0.06000980222929053,0.798513123029737,13,38,
PLEKHB1 (58473),0.34930717403672107,0.5523956866567538,13,38,
SERPINB1 (1992),0.289945174625994,0.5097062013735638,13,38,
CYP3A43 (64816),0.0023055107006139317,0.8798156674260129,13,38,
SLC7A9 (11136),-0.06920819650620391,0.73850193306967,13,38,
SPAST (6683),-0.2789943065255662,0.039991071242245955,13,38,
NRXN3 (9369),-0.19246525532368974,0.6312091435001126,13,38,
OSBPL5 (114879),0.529225809817941,0.118318899404332,13,38,
AQR (9716),-0.1812798205325623,0.28247762156140993,13,38,
CPS1 (1373),0.321083314426154,0.6241547246689272,13,38,
C8B (732),-0.010212002722927532,0.06449098297091951,13,38,
FHL1 (2273),0.5103457288732738,0.3727674263354964,13,38,
RTF2 (51507),-0.23024299226572342,0.17290320034224835,13,38,
GABRA1 (2554),-0.1050387443236255,0.2645120304325188,13,38,
NLRP2 (55655),-0.12049496941381199,0.8734574252166862,13,38,
SLC45A4 (57210),0.30393424980462136,0.1598701860385272,13,38,
RNF10 (9921),0.19812852138012094,0.15460549588726147,13,38,
ZNF839 (55778),0.14933738077133274,0.5356844732319641,13,38,
ZDHHC6 (64429),-0.07638566108518141,0.7122770391321995,13,38,
GRAMD1B (57476),0.05215292378899661,0.9034952384591176,13,38,
RNH1 (6050),0.09434161598338964,0.6090165832245851,13,38,
NDUFS1 (4719),-0.06574826625940577,0.6529639194279462,13,38,
RB1CC1 (9821),-0.2496652483553503,0.30191492201210585,13,38,
